#GBE_ID	pop
BIN1980	non_british_white
BIN1980	african
BIN1980	s_asian
BIN1980	e_asian
BIN1980	related
BIN1980	others
BIN1990	white_british
BIN1990	non_british_white
BIN1990	african
BIN1990	s_asian
BIN1990	e_asian
BIN1990	related
BIN1990	others
BIN19	white_british
BIN19	non_british_white
BIN19	african
BIN19	s_asian
BIN19	e_asian
BIN19	related
BIN19	others
BIN2000	white_british
BIN2000	non_british_white
BIN2000	african
BIN2000	s_asian
BIN2000	e_asian
BIN2000	related
BIN2000	others
BIN2010	white_british
BIN2010	non_british_white
BIN2010	african
BIN2010	s_asian
BIN2010	e_asian
BIN2010	related
BIN2010	others
BIN2020	white_british
BIN2020	non_british_white
BIN2020	african
BIN2020	s_asian
BIN2020	e_asian
BIN2020	related
BIN2020	others
BIN2030	white_british
BIN2030	non_british_white
BIN2030	african
BIN2030	s_asian
BIN2030	e_asian
BIN2030	related
BIN2030	others
BIN20401	white_british
BIN20401	non_british_white
BIN20401	african
BIN20401	s_asian
BIN20401	e_asian
BIN20401	related
BIN20401	others
BIN20404	white_british
BIN20404	non_british_white
BIN20404	related
BIN20404	others
BIN20406	white_british
BIN20406	non_british_white
BIN20406	african
BIN20406	s_asian
BIN20406	related
BIN20406	others
BIN2040	white_british
BIN2040	non_british_white
BIN2040	african
BIN2040	s_asian
BIN2040	e_asian
BIN2040	related
BIN2040	others
BIN20415	white_british
BIN20415	non_british_white
BIN20415	related
BIN20415	others
BIN20417	white_british
BIN20417	non_british_white
BIN20417	african
BIN20417	s_asian
BIN20417	e_asian
BIN20417	related
BIN20417	others
BIN20419	white_british
BIN20419	non_british_white
BIN20419	african
BIN20419	s_asian
BIN20419	e_asian
BIN20419	related
BIN20419	others
BIN20421	white_british
BIN20421	non_british_white
BIN20421	african
BIN20421	s_asian
BIN20421	e_asian
BIN20421	related
BIN20421	others
BIN20422	white_british
BIN20422	non_british_white
BIN20422	african
BIN20422	s_asian
BIN20422	e_asian
BIN20422	related
BIN20422	others
BIN20423	white_british
BIN20423	non_british_white
BIN20423	african
BIN20423	s_asian
BIN20423	e_asian
BIN20423	related
BIN20423	others
BIN20425	white_british
BIN20425	non_british_white
BIN20425	african
BIN20425	s_asian
BIN20425	e_asian
BIN20425	related
BIN20425	others
BIN20426	white_british
BIN20426	non_british_white
BIN20426	african
BIN20426	s_asian
BIN20426	e_asian
BIN20426	related
BIN20426	others
BIN20427	white_british
BIN20427	non_british_white
BIN20427	african
BIN20427	s_asian
BIN20427	e_asian
BIN20427	related
BIN20427	others
BIN20428	white_british
BIN20428	non_british_white
BIN20428	african
BIN20428	s_asian
BIN20428	e_asian
BIN20428	related
BIN20428	others
BIN20429	white_british
BIN20429	non_british_white
BIN20429	african
BIN20429	s_asian
BIN20429	e_asian
BIN20429	related
BIN20429	others
BIN20431	white_british
BIN20431	non_british_white
BIN20431	african
BIN20431	s_asian
BIN20431	related
BIN20431	others
BIN20432	white_british
BIN20432	non_british_white
BIN20432	related
BIN20432	others
BIN20435	white_british
BIN20435	non_british_white
BIN20435	african
BIN20435	s_asian
BIN20435	e_asian
BIN20435	related
BIN20435	others
BIN20437	white_british
BIN20437	non_british_white
BIN20437	african
BIN20437	s_asian
BIN20437	e_asian
BIN20437	related
BIN20437	others
BIN20441	white_british
BIN20441	non_british_white
BIN20441	african
BIN20441	s_asian
BIN20441	e_asian
BIN20441	related
BIN20441	others
BIN20445	white_british
BIN20445	non_british_white
BIN20445	african
BIN20445	s_asian
BIN20445	related
BIN20445	others
BIN20446	white_british
BIN20446	non_british_white
BIN20446	african
BIN20446	s_asian
