TableID	FieldID	BasketID	Release_Date
10137	100026	10136	2017-06-28
10137	1001	10136	2017-06-28
10137	10016	10136	2017-06-28
10137	10105	10136	2017-06-28
10137	1011	10136	2017-06-28
10137	10114	10136	2017-06-28
10137	1021	10136	2017-06-28
10137	1031	10136	2017-06-28
10137	1070	10136	2017-06-28
10137	10721	10136	2017-06-28
10137	10740	10136	2017-06-28
10137	10749	10136	2017-06-28
10137	1080	10136	2017-06-28
10137	10886	10136	2017-06-28
10137	1090	10136	2017-06-28
10137	10953	10136	2017-06-28
10137	10962	10136	2017-06-28
10137	10971	10136	2017-06-28
10137	1100	10136	2017-06-28
10137	110005	10136	2017-06-28
10137	110006	10136	2017-06-28
10137	1110	10136	2017-06-28
10137	1120	10136	2017-06-28
10137	1130	10136	2017-06-28
10137	1140	10136	2017-06-28
10137	1150	10136	2017-06-28
10137	120	10136	2017-06-28
10137	12140	10136	2017-06-28
10137	12223	10136	2017-06-28
10137	12224	10136	2017-06-28
10137	12291	10136	2017-06-28
10137	12292	10136	2017-06-28
10137	12336	10136	2017-06-28
10137	12338	10136	2017-06-28
10137	12340	10136	2017-06-28
10137	12352	10136	2017-06-28
10137	12623	10136	2017-06-28
10137	12634	10136	2017-06-28
10137	12653	10136	2017-06-28
10137	12654	10136	2017-06-28
10137	12657	10136	2017-06-28
10137	12658	10136	2017-06-28
10137	12664	10136	2017-06-28
10137	12671	10136	2017-06-28
10137	12673	10136	2017-06-28
10137	12674	10136	2017-06-28
10137	12675	10136	2017-06-28
10137	12676	10136	2017-06-28
10137	12677	10136	2017-06-28
10137	12678	10136	2017-06-28
10137	12679	10136	2017-06-28
10137	12680	10136	2017-06-28
10137	12681	10136	2017-06-28
10137	12682	10136	2017-06-28
10137	12683	10136	2017-06-28
10137	12684	10136	2017-06-28
10137	12685	10136	2017-06-28
10137	12686	10136	2017-06-28
10137	12687	10136	2017-06-28
10137	12695	10136	2017-06-28
10137	12697	10136	2017-06-28
10137	12698	10136	2017-06-28
10137	12699	10136	2017-06-28
10137	12700	10136	2017-06-28
10137	12702	10136	2017-06-28
10137	12848	10136	2017-06-28
10137	12868	10136	2017-06-28
10137	132	10136	2017-06-28
10137	136	10136	2017-06-28
10137	1677	10136	2017-06-28
10137	1687	10136	2017-06-28
10137	1697	10136	2017-06-28
10137	1707	10136	2017-06-28
10137	1767	10136	2017-06-28
10137	1777	10136	2017-06-28
10137	1787	10136	2017-06-28
10137	1920	10136	2017-06-28
10137	1930	10136	2017-06-28
10137	1940	10136	2017-06-28
10137	1950	10136	2017-06-28
10137	1960	10136	2017-06-28
10137	1970	10136	2017-06-28
10137	1980	10136	2017-06-28
10137	1990	10136	2017-06-28
10137	200	10136	2017-06-28
10137	2000	10136	2017-06-28
10137	20004	10136	2017-06-28
10137	20010	10136	2017-06-28
10137	20011	10136	2017-06-28
10137	20014	10136	2017-06-28
10137	20022	10136	2017-06-28
10137	20024	10136	2017-06-28
10137	20025	10136	2017-06-28
10137	20035	10136	2017-06-28
10137	20043	10136	2017-06-28
10137	20044	10136	2017-06-28
10137	20049	10136	2017-06-28
10137	20050	10136	2017-06-28
10137	20052	10136	2017-06-28
10137	20053	10136	2017-06-28
10137	20054	10136	2017-06-28
10137	20055	10136	2017-06-28
10137	20058	10136	2017-06-28
10137	20059	10136	2017-06-28
10137	20060	10136	2017-06-28
10137	20061	10136	2017-06-28
10137	20062	10136	2017-06-28
10137	20071	10136	2017-06-28
10137	20072	10136	2017-06-28
10137	2010	10136	2017-06-28
10137	20121	10136	2017-06-28
10137	20122	10136	2017-06-28
10137	20123	10136	2017-06-28
10137	20124	10136	2017-06-28
10137	20125	10136	2017-06-28
10137	20126	10136	2017-06-28
10137	20127	10136	2017-06-28
10137	2020	10136	2017-06-28
10137	20201	10136	2017-06-28
10137	20202	10136	2017-06-28
