p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
INI50_WB	INI50_NBW	0.9824	0.0433	22.6867	6.0678e-114	0.4647	0.0453	1.0154	0.0076	0.039	0.0086
INI50_WB	INI50_Afr	0.352	0.0954	3.6891	0.0002	0.1941	0.0861	1.0284	0.0066	0.0102	0.0071
INI50_WB	INI50_SA	0.7237	0.0777	9.3192	1.1724e-20	0.3825	0.0768	1.0164	0.0053	-0.01	0.0064
INI50_WB	INI50_EA	0.3518	0.1755	2.0049	0.045	0.4907	0.4564	0.9891	0.0065	0.0077	0.007
INI50_WB	INI50_rel	0.9956	0.026	38.2888	0.0	0.4546	0.0333	1.0252	0.0082	0.0722	0.0096
INI50_WB	INI50_others	0.9647	0.0397	24.3272	1.0099e-130	0.4016	0.0339	1.0152	0.0068	0.0255	0.0084
