INI971	Frequency_of_walking_for_pleasure_in_last_4_weeks	971
INI991	Frequency_strenuous_sports_last_4_weeks	991
INI90023	Friday_acceleration_average	90023
INI20005983	HR_fitness	5983
BIN816	Job_involves_heavy_manual_or_physical_work	816
BIN806	Job_involves_mainly_walking_or_standing	806
BIN826	Job_involves_shift_work	826
INI30005983	MaxWD	5983
INI90019	Monday_acceleration_average	90019
INI884	Number_days_moderate_physical_activity	884
INI904	Number_days_vigorous_physical_activity	904
INI864	Number_days_walked_more_than_10_minutes	864
INI30090004	Number_transition_states_10mg	90004
INI40090004	Number_transition_states_25mg	90004
INI90012	Overall_acceleration_average	90012
INI40005983	Recovery	5983
INI90024	Saturday_acceleration_average	90024
INI90013	Standard_deviation_acceleration_average	90013
INI90025	Sunday_acceleration_average	90025
INI90022	Thursday_acceleration_average	90022
INI1050	Time_spent_outdoors_summer	1050
INI1060	Time_spent_outdoors_winter	1060
INI90020	Tuesday_acceleration_average	90020
INI924	Usual_walking_pace	924
INI90021	Wednesday_acceleration_average	90021
