Acetate
Acetoacetate
Acetone
Ala
Albumin
ApoA1
ApoB
ApoB_by_ApoA1
bOHbutyrate
Cholines
Citrate
Clinical_LDL_C
Creatinine
DHA
DHA_pct
Gln
Glucose
Gly
GlycA
HDL_C
HDL_CE
HDL_FC
HDL_L
HDL_P
HDL_PL
HDL_size
HDL_TG
His
IDL_C
IDL_CE
IDL_CE_pct
IDL_C_pct
IDL_FC
IDL_FC_pct
IDL_L
IDL_P
IDL_PL
IDL_PL_pct
IDL_TG
IDL_TG_pct
Ile
LA
Lactate
LA_pct
LDL_C
LDL_CE
LDL_FC
LDL_L
LDL_P
LDL_PL
LDL_size
LDL_TG
Leu
L_HDL_C
L_HDL_CE
L_HDL_CE_pct
L_HDL_C_pct
L_HDL_FC
L_HDL_FC_pct
L_HDL_L
L_HDL_P
L_HDL_PL
L_HDL_PL_pct
L_HDL_TG
L_HDL_TG_pct
L_LDL_C
L_LDL_CE
L_LDL_CE_pct
L_LDL_C_pct
L_LDL_FC
L_LDL_FC_pct
L_LDL_L
L_LDL_P
L_LDL_PL
L_LDL_PL_pct
L_LDL_TG
L_LDL_TG_pct
L_VLDL_C
L_VLDL_CE
L_VLDL_CE_pct
L_VLDL_C_pct
L_VLDL_FC
L_VLDL_FC_pct
L_VLDL_L
L_VLDL_P
L_VLDL_PL
L_VLDL_PL_pct
L_VLDL_TG
L_VLDL_TG_pct
M_HDL_C
M_HDL_CE
M_HDL_CE_pct
M_HDL_C_pct
M_HDL_FC
M_HDL_FC_pct
M_HDL_L
M_HDL_P
M_HDL_PL
M_HDL_PL_pct
M_HDL_TG
M_HDL_TG_pct
M_LDL_C
M_LDL_CE
M_LDL_CE_pct
M_LDL_C_pct
M_LDL_FC
M_LDL_FC_pct
M_LDL_L
M_LDL_P
M_LDL_PL
M_LDL_PL_pct
M_LDL_TG
M_LDL_TG_pct
MUFA
MUFA_pct
M_VLDL_C
M_VLDL_CE
M_VLDL_CE_pct
M_VLDL_C_pct
M_VLDL_FC
M_VLDL_FC_pct
M_VLDL_L
M_VLDL_P
M_VLDL_PL
M_VLDL_PL_pct
M_VLDL_TG
M_VLDL_TG_pct
non_HDL_C
Omega_3
Omega_3_pct
Omega_6
Omega_6_by_Omega_3
Omega_6_pct
Phe
Phosphatidylc
Phosphoglyc
PUFA
PUFA_by_MUFA
PUFA_pct
Pyruvate
Remnant_C
SFA
SFA_pct
S_HDL_C
S_HDL_CE
S_HDL_CE_pct
S_HDL_C_pct
S_HDL_FC
S_HDL_FC_pct
S_HDL_L
S_HDL_P
S_HDL_PL
S_HDL_PL_pct
S_HDL_TG
S_HDL_TG_pct
S_LDL_C
S_LDL_CE
S_LDL_CE_pct
S_LDL_C_pct
S_LDL_FC
S_LDL_FC_pct
S_LDL_L
S_LDL_P
S_LDL_PL
S_LDL_PL_pct
S_LDL_TG
S_LDL_TG_pct
Sphingomyelins
S_VLDL_C
S_VLDL_CE
S_VLDL_CE_pct
S_VLDL_C_pct
S_VLDL_FC
S_VLDL_FC_pct
S_VLDL_L
S_VLDL_P
S_VLDL_PL
S_VLDL_PL_pct
S_VLDL_TG
S_VLDL_TG_pct
TG_by_PG
Total_BCAA
Total_C
Total_CE
Total_FA
Total_FC
Total_L
Total_P
Total_PL
Total_TG
Tyr
Unsaturation
Val
VLDL_C
VLDL_CE
VLDL_FC
VLDL_L
VLDL_P
VLDL_PL
VLDL_size
VLDL_TG
XL_HDL_C
XL_HDL_CE
XL_HDL_CE_pct
XL_HDL_C_pct
XL_HDL_FC
XL_HDL_FC_pct
XL_HDL_L
XL_HDL_P
XL_HDL_PL
XL_HDL_PL_pct
XL_HDL_TG
XL_HDL_TG_pct
XL_VLDL_C
XL_VLDL_CE
XL_VLDL_CE_pct
XL_VLDL_C_pct
XL_VLDL_FC
XL_VLDL_FC_pct
XL_VLDL_L
XL_VLDL_P
XL_VLDL_PL
XL_VLDL_PL_pct
XL_VLDL_TG
XL_VLDL_TG_pct
XS_VLDL_C
XS_VLDL_CE
XS_VLDL_CE_pct
XS_VLDL_C_pct
XS_VLDL_FC
XS_VLDL_FC_pct
XS_VLDL_L
XS_VLDL_P
XS_VLDL_PL
XS_VLDL_PL_pct
XS_VLDL_TG
XS_VLDL_TG_pct
XXL_VLDL_C
XXL_VLDL_CE
XXL_VLDL_CE_pct
XXL_VLDL_C_pct
XXL_VLDL_FC
XXL_VLDL_FC_pct
XXL_VLDL_L
XXL_VLDL_P
XXL_VLDL_PL
XXL_VLDL_PL_pct
XXL_VLDL_TG
XXL_VLDL_TG_pct
