p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	0.123	0.0692	1.7771	0.0755	0.0353	0.0023	1.0031	0.0074	-0.0118	0.0045
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	0.102	0.0534	1.911	0.056	0.0574	0.0027	1.0148	0.0073	-0.0316	0.0048
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030670.array-combined.sumstats.gz	0.0755	0.0561	1.3455	0.1785	0.1091	0.0075	1.0411	0.0113	0.0425	0.0054
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030810.array-combined.sumstats.gz	-0.0178	0.0522	-0.3417	0.7326	0.1234	0.013	1.0406	0.0118	-0.0027	0.0053
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030860.array-combined.sumstats.gz	0.3172	0.0788	4.0226	5.7569e-05	0.1505	0.0195	1.1021	0.0404	0.0321	0.0073
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030880.array-combined.sumstats.gz	0.2768	0.0524	5.2874	1.2406e-07	0.1843	0.033	1.0297	0.029	0.0687	0.0069
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030860.array-combined.sumstats.gz	0.2386	0.074	3.2258	0.0013	0.1856	0.0181	1.0862	0.0236	0.0497	0.0075
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	0.1493	0.0574	2.6012	0.0093	0.0319	0.0061	1.0038	0.0077	0.0267	0.0046
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	0.79	0.0165	47.7657	0.0	0.0353	0.0023	1.003	0.0073	0.767	0.0064
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	0.6895	0.0221	31.2019	1.0044e-213	0.0574	0.0027	1.0148	0.0073	0.5078	0.0058
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030670.array-combined.sumstats.gz	0.2345	0.0281	8.3576	6.3981e-17	0.109	0.0075	1.041	0.0113	0.2227	0.0056
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030720.array-combined.sumstats.gz	0.1982	0.0315	6.2919	3.1359e-10	0.2042	0.0255	1.1041	0.02	0.1811	0.0068
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030810.array-combined.sumstats.gz	-0.1303	0.027	-4.8283	1.3769e-06	0.1236	0.0129	1.0399	0.0118	-0.073	0.0058
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030860.array-combined.sumstats.gz	-0.0257	0.0264	-0.974	0.3301	0.1504	0.0194	1.1022	0.0403	-0.073	0.0062
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030880.array-combined.sumstats.gz	0.1385	0.0252	5.4922	3.9686e-08	0.1844	0.033	1.0293	0.029	0.1713	0.0068
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030700.array-combined.sumstats.gz	-0.2334	0.0285	-8.1858	2.7044e-16	0.1719	0.0116	1.1196	0.0217	-0.2037	0.0069
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030860.array-combined.sumstats.gz	0.0927	0.0252	3.6785	0.0002	0.1857	0.0181	1.0858	0.0235	-0.0071	0.0062
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	0.4698	0.0296	15.8574	1.2489e-56	0.0574	0.0027	1.0148	0.0073	0.4359	0.0055
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030670.array-combined.sumstats.gz	0.2293	0.031	7.3942	1.4224e-13	0.109	0.0075	1.041	0.0113	0.2227	0.0054
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030860.array-combined.sumstats.gz	-0.0721	0.0374	-1.9258	0.0541	0.1504	0.0194	1.1022	0.0403	-0.0644	0.0058
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030880.array-combined.sumstats.gz	0.0233	0.0321	0.7254	0.4682	0.1844	0.033	1.0293	0.029	0.0979	0.0067
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030670.array-combined.sumstats.gz	0.3062	0.0266	11.502	1.2893e-30	0.109	0.0075	1.041	0.0113	0.1868	0.0057
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030860.array-combined.sumstats.gz	0.053	0.0284	1.8627	0.0625	0.1504	0.0194	1.1022	0.0403	-0.0536	0.0056
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030880.array-combined.sumstats.gz	0.1118	0.0336	3.3289	0.0009	0.1844	0.033	1.0293	0.029	0.0751	0.0075
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	0.1374	0.0515	2.6686	0.0076	0.0319	0.0061	1.0038	0.0077	-0.0201	0.0052
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	-0.1897	0.0275	-6.8885	5.6376e-12	0.0531	0.0026	1.0128	0.0072	-0.1057	0.0058
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	-0.1662	0.0331	-5.0181	5.2177e-07	0.0353	0.0023	1.0031	0.0073	-0.0503	0.0059
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	-0.0522	0.0282	-1.8524	0.064	0.0574	0.0027	1.0149	0.0073	-0.0691	0.0053
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030650.array-combined.sumstats.gz	0.1155	0.0424	2.725	0.0064	0.1214	0.0116	1.0972	0.0439	0.1352	0.0163
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030660.array-combined.sumstats.gz	0.0431	0.0264	1.6299	0.1031	0.1073	0.0442	1.1069	0.0913	0.1029	0.0062
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030670.array-combined.sumstats.gz	0.0174	0.0324	0.5382	0.5905	0.109	0.0076	1.0413	0.0113	0.0079	0.0079
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030700.array-combined.sumstats.gz	-0.1026	0.0302	-3.397	0.0007	0.18	0.012	1.1203	0.0224	-0.016	0.0083
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030720.array-combined.sumstats.gz	-0.1905	0.0295	-6.4497	1.1207e-10	0.2041	0.0255	1.1042	0.02	-0.1341	0.0085
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030730.array-combined.sumstats.gz	0.1687	0.0332	5.0865	3.6479e-07	0.187	0.018	1.0931	0.0279	0.0959	0.0089
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030810.array-combined.sumstats.gz	0.1154	0.0283	4.078	4.5415e-05	0.1236	0.0129	1.0399	0.0118	0.086	0.0075
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030840.array-combined.sumstats.gz	0.1081	0.0321	3.3609	0.0008	0.1247	0.042	1.1643	0.1306	0.2064	0.0073
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030860.array-combined.sumstats.gz	0.3305	0.0511	6.4676	9.9559e-11	0.1504	0.0194	1.1023	0.0403	0.5396	0.0274
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030880.array-combined.sumstats.gz	0.0453	0.0297	1.5271	0.1267	0.1844	0.033	1.0294	0.029	0.0068	0.0068
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030650.array-combined.sumstats.gz	-0.1299	0.0367	-3.5413	0.0004	0.1306	0.0116	1.0759	0.0301	-0.0365	0.0131
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030700.array-combined.sumstats.gz	0.1029	0.0305	3.3765	0.0007	0.1719	0.0116	1.1195	0.0217	0.0176	0.0082
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030860.array-combined.sumstats.gz	-0.2834	0.0557	-5.0871	3.6355e-07	0.1857	0.0181	1.0859	0.0235	-0.1538	0.0183
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030500.array-combined.sumstats.gz	0.0317	0.0534	0.5946	0.5521	0.0319	0.0061	1.0038	0.0077	0.0482	0.0063
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030510.array-combined.sumstats.gz	0.0996	0.0359	2.7767	0.0055	0.0531	0.0026	1.0127	0.0072	0.0426	0.0073
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030520.array-combined.sumstats.gz	0.031	0.0327	0.9489	0.3427	0.0353	0.0023	1.003	0.0073	-0.0072	0.0071
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030530.array-combined.sumstats.gz	0.1598	0.0379	4.2229	2.4118e-05	0.0574	0.0027	1.0148	0.0073	0.0348	0.0065
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030600.array-combined.sumstats.gz	-0.0377	0.0349	-1.0814	0.2795	0.1321	0.0111	1.0683	0.0226	-0.0297	0.0105
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030620.array-combined.sumstats.gz	0.1948	0.0534	3.6468	0.0003	0.1236	0.0086	1.047	0.0111	0.1977	0.0077
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030630.array-combined.sumstats.gz	-0.1064	0.0366	-2.908	0.0036	0.213	0.0295	1.1158	0.0366	-0.1121	0.0139
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030650.array-combined.sumstats.gz	0.2204	0.0418	5.2794	1.2963e-07	0.1214	0.0116	1.0973	0.0439	0.1319	0.0093
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030660.array-combined.sumstats.gz	-0.0246	0.0384	-0.6398	0.5223	0.1073	0.0442	1.1069	0.0913	-0.0464	0.0089
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030670.array-combined.sumstats.gz	0.0668	0.0451	1.4812	0.1386	0.109	0.0075	1.0412	0.0113	-0.0135	0.0073
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030680.array-combined.sumstats.gz	0.0599	0.0365	1.64	0.101	0.1247	0.0125	1.0302	0.0136	0.0459	0.008
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030700.array-combined.sumstats.gz	-0.0469	0.0347	-1.3515	0.1765	0.18	0.0119	1.1205	0.0224	-0.017	0.0083
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030710.array-combined.sumstats.gz	0.1234	0.0661	1.8665	0.062	0.1789	0.0272	1.1135	0.0599	0.3267	0.016
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030720.array-combined.sumstats.gz	0.0811	0.0316	2.5647	0.0103	0.2041	0.0255	1.1042	0.02	0.196	0.0078
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030730.array-combined.sumstats.gz	0.1513	0.0754	2.0079	0.0447	0.187	0.018	1.0931	0.0279	0.2771	0.0098
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030740.array-combined.sumstats.gz	-0.0077	0.046	-0.167	0.8673	0.07	0.0071	1.0617	0.0306	0.0637	0.0093
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030750.array-combined.sumstats.gz	0.0061	0.0427	0.1421	0.887	0.1989	0.016	1.1185	0.0262	0.1088	0.0079
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030760.array-combined.sumstats.gz	-0.1239	0.0353	-3.5138	0.0004	0.2466	0.0351	1.1082	0.0314	-0.1327	0.0132
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030770.array-combined.sumstats.gz	0.0069	0.0308	0.225	0.822	0.2106	0.0131	1.0877	0.0209	0.0051	0.0097
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030790.array-combined.sumstats.gz	0.014	0.029	0.4838	0.6285	0.0573	0.0498	1.0956	0.0895	-0.0029	0.0066
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030810.array-combined.sumstats.gz	-0.144	0.0562	-2.5631	0.0104	0.1236	0.0129	1.0399	0.0118	-0.0421	0.0081
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030830.array-combined.sumstats.gz	-0.0085	0.0473	-0.18	0.8571	0.2101	0.0353	1.0777	0.0228	-0.1221	0.0124
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030840.array-combined.sumstats.gz	-0.0842	0.0385	-2.1898	0.0285	0.1247	0.042	1.1643	0.1306	-0.0981	0.009
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030850.array-combined.sumstats.gz	0.0204	0.0472	0.4327	0.6652	0.0756	0.0097	1.0087	0.009	0.0017	0.008
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030860.array-combined.sumstats.gz	0.0298	0.049	0.6092	0.5424	0.1504	0.0194	1.1023	0.0403	0.1268	0.0113
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030870.array-combined.sumstats.gz	0.1305	0.0496	2.6317	0.0085	0.2101	0.0288	1.0434	0.0249	0.1545	0.0133
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030880.array-combined.sumstats.gz	0.0702	0.0273	2.5714	0.0101	0.1843	0.033	1.0295	0.029	0.1208	0.0079
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030890.array-combined.sumstats.gz	-0.0497	0.0312	-1.5912	0.1116	0.0921	0.0168	1.0236	0.013	-0.1081	0.0082
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI20030640.array-combined.sumstats.gz	0.0069	0.0633	0.1089	0.9133	0.2362	0.0546	1.1697	0.0816	0.0546	0.0203
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI20030690.array-combined.sumstats.gz	-0.0426	0.0702	-0.6073	0.5436	0.2197	0.0419	1.1441	0.0543	0.0284	0.0179
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI20030780.array-combined.sumstats.gz	-0.0205	0.0712	-0.2883	0.7731	0.2137	0.0465	1.155	0.0657	0.0518	0.0189
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030650.array-combined.sumstats.gz	-0.0827	0.082	-1.0078	0.3135	0.1306	0.0116	1.0758	0.0301	-0.1624	0.0083
/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI10030610.array-combined.sumstats.gz	/oak/stanford/groups/mrivas/ukbb24983/array-combined/ldsc/metal/ukb24983_v2_hg19.INI30030700.array-combined.sumstats.gz	0.0447	0.0345	1.2933	0.1959	0.1719	0.0116	1.1196	0.0217	0.0151	0.0082
