# ontologyName	date	totalNumTerms	totalNumGenesCovered	totalNumGenes	totalNumAnnotations
EnsemblGenes	20171029	18777	18777	18777	18777
GOBiologicalProcess	20171029	13159	16804	18777	1256055
GOCellularComponent	20171029	1728	17911	18777	382522
GOMolecularFunction	20171029	4222	16729	18777	230772
HumanPhenotypeOntology	20171029	6673	3390	18777	255152
MGIExpressionDetected	20171029	651	12713	18777	84243
MGIExpressionNotDetected	20171029	561	8779	18777	60019
MGIPhenoSingleKO	20171029	9157	9525	18777	563371
MGIPhenotype	20171029	9561	9709	18777	718378
MonarchPhenotypeAll	20171029	28976	11053	18777	2834526
MonarchPhenotypeHuman	20171029	8631	3525	18777	1063688
